Wall time,Step,Value
1611073553.3202941,342900,-253.46824645996094
1611073667.0122962,345100,-245.2650146484375
1611073710.0112896,345900,-252.96530151367188
1611073780.363293,347000,-259.1510009765625
1611073795.2702901,347200,-258.7251892089844
1611073835.4592896,347900,-257.94622802734375
1611073877.8962905,348500,-246.87451171875
1611073924.5548193,349200,-255.971435546875
1611073965.0488174,349800,-248.9188995361328
1611073991.7728188,350100,-252.371337890625
1611074099.421818,351800,-260.90447998046875
1611074166.739819,353000,-252.21279907226562
1611074183.2978196,353300,-253.86697387695312
1611074218.558818,354000,-251.17868041992188
1611074307.8026662,355600,-261.6404724121094
1611074318.0476649,355800,-250.95668029785156
1611074350.1546617,356400,-268.410400390625
1611074369.094666,356800,-259.526123046875
1611074451.7946622,358400,-254.7634735107422
1611074533.853664,360100,-249.7222137451172
1611074631.369665,362100,-253.95387268066406
1611074717.5896676,363900,-266.58111572265625
1611074730.8776867,364100,-248.15988159179688
1611074740.6334465,364300,-261.686767578125
1611074758.2624452,364600,-259.4187927246094
1611074772.5294495,364900,-256.888916015625
1611074862.9464512,366600,-255.92410278320312
1611074916.453451,367700,-255.60626220703125
1611074985.9234514,369100,-251.46810913085938
1611075138.0860534,372100,-265.3550720214844
1611075146.8140495,372300,-262.94183349609375
1611075264.6190543,374700,-259.2328796386719
1611075284.3770478,375100,-260.7574157714844
1611075293.900053,375300,-254.89761352539062
1611075321.302072,375900,-272.17486572265625
1611075338.9781415,376200,-258.24688720703125
1611075348.6081429,376400,-253.23731994628906
1611075394.455141,377300,-255.15750122070312
1611075429.651165,378000,-270.52685546875
1611075496.8836286,379300,-264.68035888671875
1611075536.8501778,380100,-260.1365661621094
1611075601.9642997,381400,-267.4472961425781
1611075611.487302,381600,-254.00466918945312
1611075627.1263058,381900,-262.41790771484375
1611075717.076797,383500,-249.14784240722656
1611075740.4787962,384000,-245.0010528564453
1611075753.354797,384200,-256.8399353027344
1611075803.1087985,385200,-262.36279296875
1611075821.8787997,385600,-261.92974853515625
1611075976.1135092,388500,-261.3911437988281
1611076000.897509,389000,-266.4399719238281
1611076035.7825117,389700,-260.39703369140625
1611076248.7555065,394100,-252.7640380859375
1611076286.1385093,394900,-260.9585876464844
1611076317.5085084,395600,-258.8040771484375
1611076337.034508,396000,-265.706298828125
1611076390.7575061,397100,-257.91119384765625
1611076417.941506,397700,-253.83636474609375
1611076445.6065047,398300,-266.9490051269531
1611076550.0309515,400500,-263.4093322753906
1611076600.9119518,401600,-263.62060546875
1611076626.668985,402100,-267.17352294921875
1611076669.610982,403000,-260.6419677734375
1611076674.0309908,403100,-262.5849304199219
1611076733.4669843,404300,-262.3826904296875
1611076782.8689845,405400,-264.551025390625
1611076796.6909924,405700,-270.0345458984375
1611076848.1149893,406700,-265.6368408203125
1611077097.0358005,411400,-261.9654541015625
1611077121.9089513,411900,-257.9004821777344
1611077127.103939,412000,-260.1673889160156
1611077180.456965,413000,-264.525146484375
1611077540.5076573,420300,-269.53314208984375
1611077594.1080704,421400,-263.9507751464844
1611077598.852433,421500,-271.6279296875
1611077608.0554292,421700,-276.9058532714844
1611077618.836431,421900,-265.30511474609375
1611077638.8194287,422200,-271.1968078613281
1611077643.586433,422300,-270.21331787109375
1611077768.8524318,424800,-270.1016845703125
1611077792.0494328,425300,-260.2391357421875
1611077805.9024308,425600,-273.19097900390625
1611077845.4934323,426400,-267.5111999511719
1611077898.0164278,427500,-268.54974365234375
1611077944.2514322,428400,-270.6856384277344
1611077959.4194274,428700,-273.88922119140625
1611077964.203433,428800,-275.20196533203125
1611078039.5284297,430300,-271.17333984375
1611078111.2414374,431900,-264.41766357421875
1611078142.1794314,432500,-258.409912109375
1611078160.9464326,432900,-266.750732421875
1611078207.3724375,433800,-262.44854736328125
1611078217.3604345,434000,-273.3200378417969
1611078264.8034303,434900,-268.293212890625
1611078283.6484509,435300,-270.47442626953125
1611078346.5656192,436400,-268.4296875
1611078471.8636901,439000,-274.562255859375
1611078514.9916923,439900,-274.0871887207031
1611078592.7116916,441400,-268.5323181152344
1611078632.132688,442100,-273.7801818847656
1611078662.4006872,442700,-272.7073974609375
1611078681.9056926,443100,-270.01873779296875
1611078686.608687,443200,-272.9464111328125
1611078784.9602444,445100,-260.1739501953125
1611078798.8572443,445400,-272.61505126953125
1611078981.3447094,449000,-266.17083740234375
1611079010.0979218,449600,-268.731201171875
1611079091.6129243,451100,-271.04412841796875
1611079101.073917,451300,-267.240478515625
1611079193.3361979,453000,-286.2469177246094
1611079198.3201973,453100,-272.78326416015625
1611079296.9018745,455000,-277.81207275390625
1611079301.7918744,455100,-268.18316650390625
1611079316.7508738,455400,-275.27838134765625
1611079364.922871,456300,-277.3330078125
1611079418.709868,457400,-268.28472900390625
1611079547.943396,459900,-268.5841064453125
1611079568.2253966,460200,-277.2294921875
1611079624.8224206,461300,-280.6822509765625
1611079640.2654254,461600,-286.5350036621094
1611079650.4054208,461800,-287.6119384765625
1611079660.204424,462000,-275.89654541015625
1611079725.629424,463200,-275.92718505859375
1611079816.7394488,464900,-281.19207763671875
1611079925.4704497,467000,-273.3742370605469
